,Prediction,Gold,ASR_BLEU
317,it is important to be important together it is not time,its important that when i tell you to not move you dont move,BLEU = 4.11 27.3/5.0/2.8/1.6 (BP = 0.834 ratio = 0.846 hyp_len = 11 ref_len = 13)
318,that it is not a something that is far away,that is not flying that is falling with style,BLEU = 12.55 50.0/22.2/6.2/3.6 (BP = 1.000 ratio = 1.111 hyp_len = 10 ref_len = 9)
319,thank you very much you must,thank you anyway bye,BLEU = 16.23 33.3/20.0/12.5/8.3 (BP = 1.000 ratio = 1.500 hyp_len = 6 ref_len = 4)
320,it has fleet for the koran fleet,you already have for caron freight,BLEU = 6.57 14.3/8.3/5.0/3.1 (BP = 1.000 ratio = 1.167 hyp_len = 7 ref_len = 6)
321,you were my friend because you were afraid of that,you are angry at me because before i looked at that one,BLEU = 4.52 30.0/5.6/3.1/1.8 (BP = 0.819 ratio = 0.833 hyp_len = 10 ref_len = 12)
322,less than can be made for three years,the least i can do for you is give you three euros,BLEU = 4.41 37.5/7.1/4.2/2.5 (BP = 0.607 ratio = 0.667 hyp_len = 8 ref_len = 12)
323,dont tell me what you do,dont tell me what to do,BLEU = 53.73 83.3/60.0/50.0/33.3 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
324,i found a space for them,i have found a spaceship,BLEU = 17.97 50.0/20.0/12.5/8.3 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5)
325,the cholera girl was expired to christ,the chole girl woke up suffocating a scream,BLEU = 6.77 28.6/8.3/5.0/3.1 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
326,they recognised from graduating and was held in great courtesy,i was recognized from far and they came to greet me with gentleness,BLEU = 4.40 40.0/5.6/3.1/1.8 (BP = 0.741 ratio = 0.769 hyp_len = 10 ref_len = 13)
327,olivin but sure,hard bread but sure,BLEU = 39.43 66.7/50.0/50.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4)
328,well if you want you do not want anything,well if you want it dont do anything,BLEU = 33.03 66.7/37.5/28.6/16.7 (BP = 1.000 ratio = 1.125 hyp_len = 9 ref_len = 8)
329,they do not have men at all only of ones agreement,they dont have menthol only canes,BLEU = 4.93 27.3/5.0/2.8/1.6 (BP = 1.000 ratio = 1.833 hyp_len = 11 ref_len = 6)
330,come down go out,be still that now i am coming with you,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.287 ratio = 0.444 hyp_len = 4 ref_len = 9)
331,chapters fifteen and twenty six of sarata of romola maria del valet maria del valet,chapters fifteen and sixteen of summer sonata by ramon maria del valle inclan,BLEU = 12.87 40.0/21.4/7.7/4.2 (BP = 1.000 ratio = 1.154 hyp_len = 15 ref_len = 13)
332,but now i do not respond you take life,but now they dont answer they just rave,BLEU = 9.54 22.2/12.5/7.1/4.2 (BP = 1.000 ratio = 1.125 hyp_len = 9 ref_len = 8)
333,im sorry im sorry im sorry im sorry,oh oh im sorry i m sorry excuse me,BLEU = 10.79 37.5/14.3/8.3/5.0 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
334,my harmon,my master,BLEU = 50.00 50.0/50.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 2 ref_len = 2)
335,to day,it does well,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.607 ratio = 0.667 hyp_len = 2 ref_len = 3)
336,after the old company i was chosen that started to shower,then the old man picked up the cards slowly and began to shuffle again,BLEU = 6.32 27.3/10.0/5.6/3.1 (BP = 0.761 ratio = 0.786 hyp_len = 11 ref_len = 14)
337,this is the problem,this is the problem,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
338,the condessa broke the fact,grasp all lose all,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.250 hyp_len = 5 ref_len = 4)
339,likewise im sensible or is insensible,anyways i am sensitive and,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5)
340,he was a post a bit and we will be back to her,a little motivation and we are giving him,BLEU = 6.84 23.1/8.3/4.5/2.5 (BP = 1.000 ratio = 1.625 hyp_len = 13 ref_len = 8)
341,its open you have a free,it is open we are free,BLEU = 9.65 33.3/10.0/6.2/4.2 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
342,man to the water man to the water,man on the water man on the water,BLEU = 27.05 75.0/42.9/16.7/10.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
343,i think hes better than my little bit of ball,i think that little by little is better,BLEU = 9.98 40.0/11.1/6.2/3.6 (BP = 1.000 ratio = 1.250 hyp_len = 10 ref_len = 8)
344,then after having fasting that makes me glad,after instructed him to guide me he said goodbye,BLEU = 5.80 25.0/7.1/4.2/2.5 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
345,no no no it is what to believe,of resurrection no the normal thing is to believe,BLEU = 11.59 50.0/14.3/8.3/5.0 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
346,its based for following rombo southwest,go and continue to the southwest,BLEU = 8.12 16.7/10.0/6.2/4.2 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
347,he has been a little confused,there has been a slight confusion,BLEU = 30.21 50.0/40.0/25.0/16.7 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
348,it is not an endurance,neither i am not an ordinary man,BLEU = 14.32 40.0/25.0/16.7/12.5 (BP = 0.670 ratio = 0.714 hyp_len = 5 ref_len = 7)
349,we have a plan and we are going to try,we have a plan and we will accomplish it,BLEU = 51.70 60.0/55.6/50.0/42.9 (BP = 1.000 ratio = 1.111 hyp_len = 10 ref_len = 9)
350,its tail of head,i have such a headache,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.779 ratio = 0.800 hyp_len = 4 ref_len = 5)
351,to throw the capital is left,only a top engineer can fix the artefact,BLEU = 5.82 16.7/10.0/6.2/4.2 (BP = 0.717 ratio = 0.750 hyp_len = 6 ref_len = 8)
352,if sometimes he remains especial flaving,stop it with the space deal its making me nervous,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.513 ratio = 0.600 hyp_len = 6 ref_len = 10)
353,the blacks black soils that were made of white,black faces and pearly whites lit by the flame,BLEU = 5.67 22.2/6.2/3.6/2.1 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9)
354,we are twelve plans,we are at twelve hour duck flight from land,BLEU = 10.13 75.0/33.3/25.0/25.0 (BP = 0.287 ratio = 0.444 hyp_len = 4 ref_len = 9)
355,well it was another toy to you,take another toy come down now,BLEU = 13.13 28.6/16.7/10.0/6.2 (BP = 1.000 ratio = 1.167 hyp_len = 7 ref_len = 6)
356,the band has no end but the most graces,the tongue has no bones but is strong enough to break a heart,BLEU = 7.27 44.4/12.5/7.1/4.2 (BP = 0.641 ratio = 0.692 hyp_len = 9 ref_len = 13)
357,in the lawn copah penetrating wan blots along with so placed tan a lake,a ray of sunshine so playful alive and joyful penetrated in the bedroom,BLEU = 6.75 28.6/7.7/4.2/2.3 (BP = 1.000 ratio = 1.077 hyp_len = 14 ref_len = 13)
358,i see that i am not endowed with life,cant you see that im dying of jealousy,BLEU = 9.54 22.2/12.5/7.1/4.2 (BP = 1.000 ratio = 1.125 hyp_len = 9 ref_len = 8)
359,it was not work,the recovery is not going to be so simple,BLEU = 4.58 25.0/16.7/12.5/12.5 (BP = 0.287 ratio = 0.444 hyp_len = 4 ref_len = 9)
360,thats the same none of them,great the slowest none is slow,BLEU = 9.65 33.3/10.0/6.2/4.2 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
361,i want to tell you no wait,i wont go there to see them no wait ill go,BLEU = 8.82 57.1/16.7/10.0/6.2 (BP = 0.565 ratio = 0.636 hyp_len = 7 ref_len = 11)
362,he however is there with me,hey how did you get here,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
363,so i do not make it very small and less than state of gold,its been a long time since i dont read a book especially the ones with hardcovers,BLEU = 2.46 7.1/3.8/2.1/1.1 (BP = 0.867 ratio = 0.875 hyp_len = 14 ref_len = 16)
364,and all that,me too,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.500 hyp_len = 3 ref_len = 2)
365,o k if you know it is u s,alright its done its now history,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.500 hyp_len = 9 ref_len = 6)
366,the real says that reading with the particular car,are you for real when you say youll go to barcelona with the particular car,BLEU = 16.20 55.6/37.5/28.6/16.7 (BP = 0.513 ratio = 0.600 hyp_len = 9 ref_len = 15)
367,in the background of mars,at the bottom of the sea,BLEU = 10.40 40.0/12.5/8.3/6.2 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6)
368,simulated until the story started by the story of the story,they looked at one another and speaking at the same time they started to explain the same story,BLEU = 2.80 36.4/5.0/2.8/1.6 (BP = 0.529 ratio = 0.611 hyp_len = 11 ref_len = 18)
369,i have got it wisting,i heard it asshole,BLEU = 12.70 40.0/12.5/8.3/6.2 (BP = 1.000 ratio = 1.250 hyp_len = 5 ref_len = 4)
370,like floating box,like those floating boxes,BLEU = 24.84 66.7/25.0/25.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4)
371,i am grateful to flemming the boats we have wrecked in seven decks,i can see the boats waving we have gusts of up to thirty seven knots,BLEU = 8.62 53.8/16.7/4.5/2.5 (BP = 0.857 ratio = 0.867 hyp_len = 13 ref_len = 15)
372,its take off give you eyes,do something quick cover your eyes,BLEU = 8.12 16.7/10.0/6.2/4.2 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
373,frail lopez rio paez rises,fray lope laughed loud,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.250 hyp_len = 5 ref_len = 4)
374,you know the latter for also the deadly,more knows the devil from age than from being the devil,BLEU = 4.51 25.0/7.1/4.2/2.5 (BP = 0.687 ratio = 0.727 hyp_len = 8 ref_len = 11)
375,the first for nothing,such an effort for nothing,BLEU = 24.88 50.0/33.3/25.0/25.0 (BP = 0.779 ratio = 0.800 hyp_len = 4 ref_len = 5)
376,careful aimed remember,watch out sorry old spud head,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.368 ratio = 0.500 hyp_len = 3 ref_len = 6)
377,if you have to do it together it is better to do it is better to know,if you have to do it either way its best if you dont do it,BLEU = 31.69 47.1/37.5/26.7/21.4 (BP = 1.000 ratio = 1.133 hyp_len = 17 ref_len = 15)
378,a city that smiles,a city that smiles,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
379,is not the already added,did i cause this,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.250 hyp_len = 5 ref_len = 4)
380,low is the cable trance,cut the braided wire,BLEU = 10.68 20.0/12.5/8.3/6.2 (BP = 1.000 ratio = 1.250 hyp_len = 5 ref_len = 4)
381,julia many thanks for you,julia thank you so much for helping me,BLEU = 7.72 60.0/12.5/8.3/6.2 (BP = 0.549 ratio = 0.625 hyp_len = 5 ref_len = 8)
382,i standing i will start start,its starting its starting,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.500 hyp_len = 6 ref_len = 4)
383,she respired in the window william green a brill and something,i am already breathing the wind that smells like tar and seaweed,BLEU = 4.07 18.2/5.0/2.8/1.6 (BP = 0.913 ratio = 0.917 hyp_len = 11 ref_len = 12)
384,become an ancestor vargo and politician,until it is converted into an anxiety of the vague of the ideal and poetical love,BLEU = 1.82 33.3/10.0/6.2/4.2 (BP = 0.189 ratio = 0.375 hyp_len = 6 ref_len = 16)
385,a,chapter one,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.368 ratio = 0.500 hyp_len = 1 ref_len = 2)
386,the bark is dangerous,the jungle is a dangerous place,BLEU = 12.75 75.0/16.7/12.5/12.5 (BP = 0.607 ratio = 0.667 hyp_len = 4 ref_len = 6)
387,we need no vacations,we need vacations,BLEU = 35.36 75.0/33.3/25.0/25.0 (BP = 1.000 ratio = 1.333 hyp_len = 4 ref_len = 3)
388,he was sentenced that he should be the first of the idols,everybody knew so much about him that he could have been the protagonist of the dinner of the stupid,BLEU = 5.65 41.7/18.2/5.0/2.8 (BP = 0.558 ratio = 0.632 hyp_len = 12 ref_len = 19)
389,i hev got a legs like a man,i have the legs like i was a man,BLEU = 14.58 62.5/28.6/8.3/5.0 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
390,this operation does not have the commissions,this operation has no commissions,BLEU = 14.54 42.9/16.7/10.0/6.2 (BP = 1.000 ratio = 1.400 hyp_len = 7 ref_len = 5)
391,is a family like a night past,in family as if it was christmas eve,BLEU = 5.69 14.3/8.3/5.0/3.1 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
392,that people goes to twenty meters,those people at twenty meters from their ship,BLEU = 12.87 50.0/20.0/12.5/8.3 (BP = 0.717 ratio = 0.750 hyp_len = 6 ref_len = 8)
393,pardon pity i love you,run duck it wants to catch you,BLEU = 7.16 20.0/12.5/8.3/6.2 (BP = 0.670 ratio = 0.714 hyp_len = 5 ref_len = 7)
394,as soma has been cited to the archers side he understood all the virtues,the sigh of the archangel came to my soul waking up all the virtues,BLEU = 12.01 35.7/15.4/8.3/4.5 (BP = 1.000 ratio = 1.000 hyp_len = 14 ref_len = 14)
395,no case but i used not you,you dont realize it but hes using you,BLEU = 6.77 28.6/8.3/5.0/3.1 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
396,that tour i lets say from the bars,leave that tulle next to the locker,BLEU = 6.57 25.0/7.1/4.2/2.5 (BP = 1.000 ratio = 1.143 hyp_len = 8 ref_len = 7)
397,we wont get out of it ricardo,we are not free of work ricardo,BLEU = 8.64 42.9/8.3/5.0/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
398,charles for you since he makes vilma,oh come on fuck since i know vilma,BLEU = 6.77 28.6/8.3/5.0/3.1 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
399,it seems to me that we have a black place,i believe we have a mosquito infestation,BLEU = 15.62 30.0/22.2/12.5/7.1 (BP = 1.000 ratio = 1.429 hyp_len = 10 ref_len = 7)
400,well me no,ill deliver them then,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4)
401,i promised paula maras we will be on this after,and palomares i promise you that we will get out of this,BLEU = 8.17 40.0/11.1/6.2/3.6 (BP = 0.819 ratio = 0.833 hyp_len = 10 ref_len = 12)
402,if you want to fly,i can fly if i want,BLEU = 11.51 60.0/12.5/8.3/6.2 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6)
403,white service,may i go to the restroom,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.135 ratio = 0.333 hyp_len = 2 ref_len = 6)
404,for you see smutty,hey whats the purpose of this button,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.472 ratio = 0.571 hyp_len = 4 ref_len = 7)
405,of a painting some one saw that frequently,can someone in a town invite the priest to dance,BLEU = 4.30 12.5/7.1/4.2/2.5 (BP = 0.779 ratio = 0.800 hyp_len = 8 ref_len = 10)
406,he was my father to one my father nor thought,with the gun i didnt think about my father nor my sister,BLEU = 13.74 40.0/22.2/12.5/7.1 (BP = 0.819 ratio = 0.833 hyp_len = 10 ref_len = 12)
407,my honours parted covering with sacks and to a broken mantle,my soul began to be covered by sadness and to sigh for romance,BLEU = 6.92 27.3/10.0/5.6/3.1 (BP = 0.834 ratio = 0.846 hyp_len = 11 ref_len = 13)
408,oh i dont worry,oh hey it wasnt eh nothing,BLEU = 9.69 25.0/16.7/12.5/12.5 (BP = 0.607 ratio = 0.667 hyp_len = 4 ref_len = 6)
409,he believes in the forces our giving with the eyes of the same,the black guy leaned probing the abyss with his eyes,BLEU = 4.37 30.8/4.2/2.3/1.2 (BP = 1.000 ratio = 1.300 hyp_len = 13 ref_len = 10)
410,he got destroyed began with graciosa,stopping and putting back the head with funny movement,BLEU = 4.92 16.7/10.0/6.2/4.2 (BP = 0.607 ratio = 0.667 hyp_len = 6 ref_len = 9)
411,both mentions ended up in fact,so many lies end up taking its toll,BLEU = 5.82 16.7/10.0/6.2/4.2 (BP = 0.717 ratio = 0.750 hyp_len = 6 ref_len = 8)
412,i have been amused with the dinner,they drank red bull with gin,BLEU = 6.57 14.3/8.3/5.0/3.1 (BP = 1.000 ratio = 1.167 hyp_len = 7 ref_len = 6)
413,health is not enjoyed in the shoe,you wont be fit with only a diet but with a good work out,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.368 ratio = 0.500 hyp_len = 7 ref_len = 14)
414,looking for other for witches this night,do i look for another to watch the sheep tonight,BLEU = 4.28 14.3/8.3/5.0/3.1 (BP = 0.651 ratio = 0.700 hyp_len = 7 ref_len = 10)
415,only whitish and burning horizon calms without breezes or murmurs,scorching sun whitish and charred horizons calm sea without breezes or whispers,BLEU = 16.08 50.0/33.3/12.5/7.1 (BP = 0.819 ratio = 0.833 hyp_len = 10 ref_len = 12)
416,it was in vilna and he does not think that he could not leave us,it was vilma it was vilma and i dont think that i cant stop feeling this,BLEU = 7.35 33.3/14.3/3.8/2.1 (BP = 0.936 ratio = 0.938 hyp_len = 15 ref_len = 16)
417,please with favour please,a favor can be paid with a favor,BLEU = 5.88 25.0/16.7/12.5/12.5 (BP = 0.368 ratio = 0.500 hyp_len = 4 ref_len = 8)
418,im sorry,sorry boy,BLEU = 50.00 50.0/50.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 2 ref_len = 2)
419,at that moment the caballero comes who were said,in that moment the stable boy came to say that they had saddled,BLEU = 11.38 33.3/25.0/14.3/8.3 (BP = 0.641 ratio = 0.692 hyp_len = 9 ref_len = 13)
420,a phantasy a fancier,a fantasy a fantasy,BLEU = 19.00 50.0/16.7/12.5/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
421,this weak an adviser for the feeble,im having an unbeatable humor this week,BLEU = 7.81 28.6/8.3/5.0/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
422,no,no no,BLEU = 36.79 100.0/0.0/0.0/0.0 (BP = 0.368 ratio = 0.500 hyp_len = 1 ref_len = 2)
423,you know the way to the auld wife,the devil is wise not because hes the devil but because hes old,BLEU = 3.52 25.0/7.1/4.2/2.5 (BP = 0.535 ratio = 0.615 hyp_len = 8 ref_len = 13)
424,the truth was not working,the truth was that there wasnt enough cake,BLEU = 21.82 60.0/50.0/33.3/25.0 (BP = 0.549 ratio = 0.625 hyp_len = 5 ref_len = 8)
425,only two things were always remained for mine,only two things have remain arcane to me,BLEU = 20.56 37.5/28.6/16.7/10.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
426,every day they were passed in one from the lover,for every day of january that passes a clove loses a garlic,BLEU = 6.87 20.0/11.1/6.2/3.6 (BP = 0.819 ratio = 0.833 hyp_len = 10 ref_len = 12)
427,old waters that were fasted on benches and especially life,former robbers that exhausted from a life of adventure and heart broken for an uncertain loot,BLEU = 3.03 30.0/5.6/3.1/1.8 (BP = 0.549 ratio = 0.625 hyp_len = 10 ref_len = 16)
428,no no,no no,BLEU = 100.00 100.0/100.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 2 ref_len = 2)
429,well ive asked for you,well im happy for you,BLEU = 23.64 60.0/25.0/16.7/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5)
430,from time and time he was an agitator and was to handle many times,from time to time they shook and moved their bruised hand with nervous shakes,BLEU = 7.14 35.7/7.7/4.2/2.3 (BP = 1.000 ratio = 1.000 hyp_len = 14 ref_len = 14)
431,docks made of wells and rounded,the dog that walks finds a bone,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.846 ratio = 0.857 hyp_len = 6 ref_len = 7)
432,hed come in his friar frylope,you are going fray lope,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5)
433,i have the proposal of a form to you hardly less news we fell in later,i intend to kidnap you as soon as we reach an unpopulated area,BLEU = 3.46 25.0/3.3/1.8/1.0 (BP = 1.000 ratio = 1.231 hyp_len = 16 ref_len = 13)
434,and he goes to make a coffer,and i will make you another nice glasses,BLEU = 6.77 28.6/8.3/5.0/3.1 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
435,hes in mobile phone with mobile fighters,he heard motionless with a strange anxiety,BLEU = 6.57 14.3/8.3/5.0/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
436,articulated an artist,the first cuckoo indicates the arrival of a mild spring,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.097 ratio = 0.300 hyp_len = 3 ref_len = 10)
437,but we can collaborating together to this,but we can collaborate be together in this,BLEU = 24.08 71.4/33.3/20.0/12.5 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
438,the indians responded with the double indian poems with safe charge of level,that indian poems shimmer with a double charm both priestly and voluptuous,BLEU = 7.35 30.8/8.3/4.5/2.5 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12)
439,see you if possible,she has cross eyes go hurry up,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.472 ratio = 0.571 hyp_len = 4 ref_len = 7)
440,doctor he has to lower to settle,doctor you have to come right away,BLEU = 7.81 28.6/8.3/5.0/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
441,you screwed me real good,you screwed me over but okay,BLEU = 32.56 60.0/50.0/33.3/25.0 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6)
442,and you wait the problem was looking for a while,and hope for the problem to be forgotten,BLEU = 9.98 40.0/11.1/6.2/3.6 (BP = 1.000 ratio = 1.250 hyp_len = 10 ref_len = 8)
443,a long one of our life,throughout our life,BLEU = 16.23 33.3/20.0/12.5/8.3 (BP = 1.000 ratio = 2.000 hyp_len = 6 ref_len = 3)
444,the breach of performance will be performed before the newspaper,the prescription will be made before the sixteenth,BLEU = 12.55 50.0/22.2/6.2/3.6 (BP = 1.000 ratio = 1.250 hyp_len = 10 ref_len = 8)
445,we have never once for the best never,we have never loved each other like this never ever,BLEU = 17.20 50.0/28.6/16.7/10.0 (BP = 0.779 ratio = 0.800 hyp_len = 8 ref_len = 10)
446,abo hipple claimed with seed of colors indicated indigenous languages is similar to an old tunic,albo hipil scaled with colored silks indigenous clothing similar to the old tunic,BLEU = 7.66 37.5/13.3/3.6/1.9 (BP = 1.000 ratio = 1.231 hyp_len = 16 ref_len = 13)
447,my feminist,my friend is feminist,BLEU = 26.01 100.0/50.0/0.0/0.0 (BP = 0.368 ratio = 0.500 hyp_len = 2 ref_len = 4)
448,i saw that my lord marquise has a complimentation,i see due my devotion my duke will fulfill them,BLEU = 5.07 22.2/6.2/3.6/2.1 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10)
449,because i dont have to enter a boy with your life,it doesnt matter how unexpectedly a woman walks into your life,BLEU = 8.30 27.3/10.0/5.6/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11)
450,since finally it is not finding well,my aunt wasnt feeling very well since yesterday,BLEU = 6.77 28.6/8.3/5.0/3.1 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
451,look look at houses that theres a better better,look in this house there is a kid that thinks you rock,BLEU = 4.50 33.3/6.2/3.6/2.1 (BP = 0.717 ratio = 0.750 hyp_len = 9 ref_len = 12)
452,you have a bread,does it have bread and water,BLEU = 11.52 50.0/16.7/12.5/12.5 (BP = 0.607 ratio = 0.667 hyp_len = 4 ref_len = 6)
453,im sorry for stella,im sorry estela,BLEU = 31.95 50.0/33.3/25.0/25.0 (BP = 1.000 ratio = 1.333 hyp_len = 4 ref_len = 3)
454,it was attracted to mexicans sometimes with his old colors,i was interested in the mexican legend with its old dynasties and mean gods,BLEU = 3.70 30.0/5.6/3.1/1.8 (BP = 0.670 ratio = 0.714 hyp_len = 10 ref_len = 14)
455,i suffered from the memory,it looked like the salambo of those palaces,BLEU = 5.86 20.0/12.5/8.3/6.2 (BP = 0.549 ratio = 0.625 hyp_len = 5 ref_len = 8)
456,whats trip its to me a blind,what trips the blond takes,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.400 hyp_len = 7 ref_len = 5)
457,im giving you in serious,i do not mind really,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5)
458,welcome many lot of way,welcome thank you,BLEU = 10.68 20.0/12.5/8.3/6.2 (BP = 1.000 ratio = 1.667 hyp_len = 5 ref_len = 3)
459,poor carmen was going to die,poor carmen will be so happy,BLEU = 16.23 33.3/20.0/12.5/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
460,it is a strong sense,its strawberry,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 2.500 hyp_len = 5 ref_len = 2)
461,i am sorry,im really sorry,BLEU = 27.52 33.3/25.0/25.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3)
462,where are you because,where are they why do they take so long,BLEU = 9.15 50.0/33.3/25.0/25.0 (BP = 0.287 ratio = 0.444 hyp_len = 4 ref_len = 9)
463,no no on water,no do not touch the water,BLEU = 11.52 50.0/16.7/12.5/12.5 (BP = 0.607 ratio = 0.667 hyp_len = 4 ref_len = 6)
464,posters that want to give the others,the desserts theyre going to give to the others,BLEU = 13.96 57.1/33.3/10.0/6.2 (BP = 0.751 ratio = 0.778 hyp_len = 7 ref_len = 9)
465,this is the last one i said something,this is the last time i lend you something,BLEU = 33.76 75.0/42.9/33.3/20.0 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
466,you have found in the background,i have found them in the pocket of your jacket,BLEU = 11.79 66.7/40.0/12.5/8.3 (BP = 0.513 ratio = 0.600 hyp_len = 6 ref_len = 10)
467,nothing no one but temporing at the first move,will you leave something no tomorrow morning you will come to pick up the trunk,BLEU = 2.91 22.2/6.2/3.6/2.1 (BP = 0.513 ratio = 0.600 hyp_len = 9 ref_len = 15)
468,the first article with her hand by her hand and in may,the arrogance and rage with which she took her hand to her heart made me smile,BLEU = 6.39 50.0/9.1/5.0/2.8 (BP = 0.717 ratio = 0.750 hyp_len = 12 ref_len = 16)
469,and the noble marquis of marquis of gooseman,and the noble marqués will even ignore who is juan de guzman,BLEU = 12.47 37.5/28.6/16.7/10.0 (BP = 0.607 ratio = 0.667 hyp_len = 8 ref_len = 12)
470,i cant i cant,i just cant i cant,BLEU = 49.76 100.0/66.7/50.0/50.0 (BP = 0.779 ratio = 0.800 hyp_len = 4 ref_len = 5)
471,he joined marcia with great violence which the indian backed to her,i stood up from the hammock with such violence that the indian stepped back in fear,BLEU = 5.77 33.3/9.1/5.0/2.8 (BP = 0.717 ratio = 0.750 hyp_len = 12 ref_len = 16)
472,people go back to small teachings them prepared with the cholerics,people are going to get nervous ready the vests,BLEU = 4.93 27.3/5.0/2.8/1.6 (BP = 1.000 ratio = 1.222 hyp_len = 11 ref_len = 9)
473,it is the first time that has all the boys,its the first time i see all the boys laughing,BLEU = 26.27 60.0/44.4/25.0/7.1 (BP = 1.000 ratio = 1.000 hyp_len = 10 ref_len = 10)
